1,enable,0,hands behind back,body leaning forward
2,disable,0,lying on a bed and striking a seductive pose
3,disable,0,lying on a sofa and striking a seductive pose
4,disable,0,stand near by a wall
6,enable,0,Sit in a chair
7,enable,0,Sit in a bench
8,disable,0,Lying in the bathtub
9,disable,0,Sitting on the edge of the bathtub
10,disable,0,Standing in the pool
11,disable,0,lick ice cream cone
12,disable,0,Lift one leg,Holding thigh
10,enable,0,carry a palace lamp
10,enable,0,hold a lithe kerchief with traditional pattern
10,enable,0,hold a circular bronze mirror
10,disable,0,holding a violin
10,enable,0,carry a bamboo basket on arm
10,enable,0,The wind blows up the skirt
10,enable,0,toe and heel it
